"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 2 minute(s) 51 seconds left","MEM"
"20171018","2 quarter, 9 minute(s) 3 seconds left","MEM"
"20171018","4 quarter, 7 minute(s) 46 seconds left","MEM"
"20171018","4 quarter, 1 minute(s) 20 seconds left","MEM"
"20171020","1 quarter, 6 minute(s) 22 seconds left","GSW"
"20171020","2 quarter, 1 minute(s) 35 seconds left","GSW"
"20171020","3 quarter, 10 minute(s) 9 seconds left","GSW"
"20171020","4 quarter, 10 minute(s) 45 seconds left","GSW"
