"Game Number","Time in the quarter","Opponents"
"20171019","1 quarter, 5 minute(s) 44 seconds left","CHI"
"20171019","2 quarter, 2 minute(s) 53 seconds left","CHI"
"20171019","3 quarter, 6 minute(s) 59 seconds left","CHI"
"20171019","4 quarter, 2 minute(s) 56 seconds left","CHI"
"20171021","1 quarter, 6 minute(s) 34 seconds left","PHI"
"20171021","2 quarter, 2 minute(s) 56 seconds left","PHI"
"20171021","3 quarter, 4 minute(s) 1 seconds left","PHI"
"20171021","4 quarter, 2 minute(s) 25 seconds left","PHI"
