"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 4 minute(s) 21 seconds left","DAL"
"20171018","3 quarter, 3 minute(s) 27 seconds left","DAL"
"20171018","4 quarter, 5 minute(s) 32 seconds left","DAL"
"20171018","4 quarter, 3 minute(s) 12 seconds left","DAL"
"20171020","1 quarter, 7 minute(s) 9 seconds left","CHA"
"20171020","3 quarter, 3 minute(s) 11 seconds left","CHA"
"20171020","4 quarter, 3 minute(s) 30 seconds left","CHA"
