"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 34 seconds left","DET"
"20171018","2 quarter, 2 minute(s) 10 seconds left","DET"
"20171018","3 quarter, 9 minute(s) 9 seconds left","DET"
"20171018","4 quarter, 2 minute(s) 28 seconds left","DET"
"20171018","4 quarter, 0 minute(s) 25 seconds left","DET"
"20171020","2 quarter, 9 minute(s) 40 seconds left","ATL"
"20171020","3 quarter, 5 minute(s) 53 seconds left","ATL"
"20171020","4 quarter, 6 minute(s) 9 seconds left","ATL"
