"Game Number","Time in the quarter","Opponents"
"20171019","1 quarter, 6 minute(s) 59 seconds left","NYK"
"20171019","3 quarter, 7 minute(s) 13 seconds left","NYK"
"20171019","4 quarter, 5 minute(s) 49 seconds left","NYK"
"20171021","1 quarter, 3 minute(s) 34 seconds left","UTA"
"20171021","2 quarter, 8 minute(s) 45 seconds left","UTA"
"20171021","3 quarter, 8 minute(s) 47 seconds left","UTA"
"20171021","4 quarter, 7 minute(s) 5 seconds left","UTA"
"20171021","4 quarter, 2 minute(s) 21 seconds left","UTA"
