"Game Number","Time in the quarter","Opponents"
"20171018","1 quarter, 6 minute(s) 52 seconds left","MIN"
"20171018","2 quarter, 6 minute(s) 26 seconds left","MIN"
"20171018","2 quarter, 3 minute(s) 51 seconds left","MIN"
"20171018","3 quarter, 8 minute(s) 25 seconds left","MIN"
"20171021","1 quarter, 2 minute(s) 14 seconds left","CHI"
"20171021","2 quarter, 3 minute(s) 22 seconds left","CHI"
"20171021","3 quarter, 2 minute(s) 4 seconds left","CHI"
"20171021","4 quarter, 2 minute(s) 47 seconds left","CHI"
